# GeckoLib 4 to GeckoLib 5 class moves.
#
# Format: OLD_INTERNAL_NAME<TAB>NEW_INTERNAL_NAME
#
# GeckoLib 5 moved the whole library from software.bernie.geckolib to com.geckolib and
# reorganised it at the same time, so a mod built against 4.x dies on its first touch with
# NoClassDefFoundError: software/bernie/geckolib/animatable/GeoItem (#223).
#
# Derived from the geckolib-forge-1.20.1-4.8.4 and geckolib-neoforge-26.1.2-5.5.2 jars. A pair
# is taken when the plain package swap lands on a class 5.5.2 ships, or when exactly one class
# in 5.5.2 carries that simple name. Nothing ambiguous was found, and 91 further 4.x classes
# have no counterpart at all: those are internals such as the texture cache, and a mod that
# reaches them needs a real port rather than a rename.
#
# GeckoLib 4.x tops out at Minecraft 1.21.4 and 5.x starts at 1.21.5, so the shim that reads
# this table is gated on the host being 1.21.5 or newer. Applying it on an older host would
# rewrite a mod onto packages that host's GeckoLib does not have.
# 111 class moves.
software/bernie/geckolib/GeckoLib	com/geckolib/GeckoLib
software/bernie/geckolib/event/GeoRenderEvent$Armor$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$Armor$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$Armor$Pre	com/geckolib/event/GeoRenderEvent$Armor$Pre
software/bernie/geckolib/event/GeoRenderEvent$Block	com/geckolib/event/GeoRenderEvent$Block
software/bernie/geckolib/event/GeoRenderEvent$Block$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$Block$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$Block$Pre	com/geckolib/event/GeoRenderEvent$Block$Pre
software/bernie/geckolib/event/GeoRenderEvent$Entity	com/geckolib/event/GeoRenderEvent$Entity
software/bernie/geckolib/event/GeoRenderEvent$Entity$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$Entity$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$Entity$Pre	com/geckolib/event/GeoRenderEvent$Entity$Pre
software/bernie/geckolib/event/GeoRenderEvent$Item	com/geckolib/event/GeoRenderEvent$Item
software/bernie/geckolib/event/GeoRenderEvent$Item$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$Item$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$Item$Pre	com/geckolib/event/GeoRenderEvent$Item$Pre
software/bernie/geckolib/event/GeoRenderEvent$Object	com/geckolib/event/GeoRenderEvent$Object
software/bernie/geckolib/event/GeoRenderEvent$Object$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$Object$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$Object$Pre	com/geckolib/event/GeoRenderEvent$Object$Pre
software/bernie/geckolib/event/GeoRenderEvent$ReplacedEntity	com/geckolib/event/GeoRenderEvent$ReplacedEntity
software/bernie/geckolib/event/GeoRenderEvent$ReplacedEntity$CompileRenderLayers	com/geckolib/event/GeoRenderEvent$ReplacedEntity$CompileRenderLayers
software/bernie/geckolib/event/GeoRenderEvent$ReplacedEntity$Pre	com/geckolib/event/GeoRenderEvent$ReplacedEntity$Pre
software/bernie/geckolib/loading/json/raw/ModelProperties	com/geckolib/cache/model/ModelProperties
software/bernie/geckolib/loading/object/BakedAnimations	com/geckolib/cache/animation/BakedAnimations
software/bernie/geckolib/mixin/client/TextureManagerMixin	com/geckolib/mixin/client/TextureManagerMixin
software/bernie/geckolib/mixin/common/AbstractContainerMenuMixin	com/geckolib/mixin/common/AbstractContainerMenuMixin
software/bernie/geckolib/mixin/common/ItemStackMixin	com/geckolib/mixin/common/ItemStackMixin
software/bernie/geckolib/model/DefaultedBlockGeoModel	com/geckolib/model/DefaultedBlockGeoModel
software/bernie/geckolib/model/DefaultedEntityGeoModel	com/geckolib/model/DefaultedEntityGeoModel
software/bernie/geckolib/model/DefaultedGeoModel	com/geckolib/model/DefaultedGeoModel
software/bernie/geckolib/model/DefaultedItemGeoModel	com/geckolib/model/DefaultedItemGeoModel
software/bernie/geckolib/model/GeoModel	com/geckolib/model/GeoModel
software/bernie/geckolib/network/packet/BlockEntityAnimTriggerPacket	com/geckolib/network/packet/blockentity/BlockEntityAnimTriggerPacket
software/bernie/geckolib/network/packet/EntityAnimTriggerPacket	com/geckolib/network/packet/entity/EntityAnimTriggerPacket
